 Print Document Close Window
Route Loading Sheet
Route Name: Kurunegala To Hettipola

Assigned Rep: Abdul Raheem

Printed On: 2026-07-20 6:51 PM

Active Bills
17
Total Route Value
Rs. 308,062.82
No	Product Name	Qty	Unit Price	Total	
246	Star Sticker Small 10Pcs SILVER	6	120.00	720.00	
247	Sticker A4 Bat Man	60	26.03	1,561.80	
248	Sticker A4 Dora	60	30.00	1,800.00	
249	Sticker LYQ Mix	18	185.00	3,330.00	
250	Fancy Note Book	36	250.00	9,000.00	
251	Sticky Notes Multy Color 76*51	36	90.00	3,240.00	
252	Binding Tape 25mm*20mt BLACK	36	130.00	4,680.00	
253	Cello Tape 48mm*100mt	72	225.00	16,200.00	
254	Cello Tape 48mm*25mt	36	70.00	2,520.00	
255	Cello Tape 48mm*50mt	36	125.00	4,500.00	
256	Double Side Tape 12mm*10mt	72	60.00	4,320.00	
257	Easy Tear Tape 1/2mm*20mt	6	170.00	1,020.00	
258	Masking Tape 25mm*20mt	108	80.00	8,640.00	
259	Steel Water Bottle 1000ml-SPORT POT	69	660.00	45,540.00	
260	Steel Water Bottle 750ml-SPORT POT	0	600.00	0.00	
261	Vacuum Water Bottle 500ml 4017	15	1,375.00	20,625.00	
262	Water Bottle 4024	0	675.00	0.00	
263	Water Bottle 4054	36	760.00	27,360.00	
264	Water Bottle 4055	36	835.00	30,060.00	
Total Route Summary & Verification
Total Items Count:
264 items
Total Shortages:
663 pcs
Total Overages:
64 pcs
Physical Verification:
Prepared By:

___________________________

Logistics / Admin

Verified By (OIC):

___________________________

Warehouse Keeper

Acknowledged By:

___________________________

Driver / Representative
